Image_Paths,Binary_Paths,Mask_Paths
/content/Master/train2017/000000419249.jpg,/content/Master/Binary_Masks/000000419249.png,/content/Master/panoptic_train2017/000000419249.png
/content/Master/train2017/000000042458.jpg,/content/Master/Binary_Masks/000000042458.png,/content/Master/panoptic_train2017/000000042458.png
/content/Master/train2017/000000111194.jpg,/content/Master/Binary_Masks/000000111194.png,/content/Master/panoptic_train2017/000000111194.png
/content/Master/train2017/000000156512.jpg,/content/Master/Binary_Masks/000000156512.png,/content/Master/panoptic_train2017/000000156512.png
/content/Master/train2017/000000240163.jpg,/content/Master/Binary_Masks/000000240163.png,/content/Master/panoptic_train2017/000000240163.png
/content/Master/train2017/000000432273.jpg,/content/Master/Binary_Masks/000000432273.png,/content/Master/panoptic_train2017/000000432273.png
/content/Master/train2017/000000199142.jpg,/content/Master/Binary_Masks/000000199142.png,/content/Master/panoptic_train2017/000000199142.png
/content/Master/train2017/000000333855.jpg,/content/Master/Binary_Masks/000000333855.png,/content/Master/panoptic_train2017/000000333855.png
/content/Master/train2017/000000153332.jpg,/content/Master/Binary_Masks/000000153332.png,/content/Master/panoptic_train2017/000000153332.png
/content/Master/train2017/000000517958.jpg,/content/Master/Binary_Masks/000000517958.png,/content/Master/panoptic_train2017/000000517958.png
/content/Master/train2017/000000235468.jpg,/content/Master/Binary_Masks/000000235468.png,/content/Master/panoptic_train2017/000000235468.png
/content/Master/train2017/000000355133.jpg,/content/Master/Binary_Masks/000000355133.png,/content/Master/panoptic_train2017/000000355133.png
/content/Master/train2017/000000122511.jpg,/content/Master/Binary_Masks/000000122511.png,/content/Master/panoptic_train2017/000000122511.png
/content/Master/train2017/000000330091.jpg,/content/Master/Binary_Masks/000000330091.png,/content/Master/panoptic_train2017/000000330091.png
/content/Master/train2017/000000496776.jpg,/content/Master/Binary_Masks/000000496776.png,/content/Master/panoptic_train2017/000000496776.png
/content/Master/train2017/000000560064.jpg,/content/Master/Binary_Masks/000000560064.png,/content/Master/panoptic_train2017/000000560064.png
/content/Master/train2017/000000523357.jpg,/content/Master/Binary_Masks/000000523357.png,/content/Master/panoptic_train2017/000000523357.png
/content/Master/train2017/000000348636.jpg,/content/Master/Binary_Masks/000000348636.png,/content/Master/panoptic_train2017/000000348636.png
/content/Master/train2017/000000426598.jpg,/content/Master/Binary_Masks/000000426598.png,/content/Master/panoptic_train2017/000000426598.png
/content/Master/train2017/000000442348.jpg,/content/Master/Binary_Masks/000000442348.png,/content/Master/panoptic_train2017/000000442348.png
/content/Master/train2017/000000439890.jpg,/content/Master/Binary_Masks/000000439890.png,/content/Master/panoptic_train2017/000000439890.png
/content/Master/train2017/000000410638.jpg,/content/Master/Binary_Masks/000000410638.png,/content/Master/panoptic_train2017/000000410638.png
/content/Master/train2017/000000322791.jpg,/content/Master/Binary_Masks/000000322791.png,/content/Master/panoptic_train2017/000000322791.png
/content/Master/train2017/000000411130.jpg,/content/Master/Binary_Masks/000000411130.png,/content/Master/panoptic_train2017/000000411130.png
/content/Master/train2017/000000018217.jpg,/content/Master/Binary_Masks/000000018217.png,/content/Master/panoptic_train2017/000000018217.png
/content/Master/train2017/000000371139.jpg,/content/Master/Binary_Masks/000000371139.png,/content/Master/panoptic_train2017/000000371139.png
/content/Master/train2017/000000144246.jpg,/content/Master/Binary_Masks/000000144246.png,/content/Master/panoptic_train2017/000000144246.png
/content/Master/train2017/000000047016.jpg,/content/Master/Binary_Masks/000000047016.png,/content/Master/panoptic_train2017/000000047016.png
/content/Master/train2017/000000211882.jpg,/content/Master/Binary_Masks/000000211882.png,/content/Master/panoptic_train2017/000000211882.png
